Year,State,Index,M,L,U,Tag,N,Error,Std
2019,West_Bengal,PrExCS,0.10714285714285714,0,0.2413793103448276,All,29,0.30929478706587094,1.6656034023372883
2019,West_Bengal,TBLikeUt,0.03471358331852378,0.03198862626621646,0.037497778567620405,All,16881,0.18305340874103299,23.783562394547733
2019,West_Bengal,PrCSIPub,0.6324324324324324,0.6262188515709642,0.6386565547128927,All,23075,0.4821427701833029,73.23969274330467
2019,West_Bengal,PrTxiPub,0.75,0,1,All,2,0.43301270189221924,0.6123724356957945
2019,West_Bengal,PrPastPub,1,1,1,All,7,0,0
2018,West_Bengal,TxI,0.9699339686937868,0.968805514898942,0.9710512496787818,Pub,89503,0.1707690401322998,51.08906252570095
2018,West_Bengal,TxI,0.6323589673541866,0.6245731457451168,0.6401447889632564,Pri,14642,0.482162943164376,58.343708497725665
2019,West_Bengal,TxI,1,1,1,Pub,85186,0,0
2019,West_Bengal,TxI,0.6054862255709913,0.5994819872851425,0.6114904638568401,Pri,25482,0.48874600378395516,78.01892735525897
2020,West_Bengal,TxI,0.9612585376777516,0.9598309259881312,0.9626721531743366,Pub,71448,0.1929781371538813,51.58259039920369
2020,West_Bengal,TxI,0.9358604242500314,0.930463160537216,0.9411321702020836,Pri,7967,0.24500140932774792,21.86834874405853
2018,West_Bengal,TxSucc,0.8330934543799436,0.8305224440589979,0.8356521632161001,Pub,81291,0.37289241162731696,106.31750556247582
2018,West_Bengal,TxSucc,0.4573323626951387,0.44851573242740433,0.4661489929628731,Pri,12363,0.49817614628444506,55.391721595574964
2018,West_Bengal,TxDie,0.04626588429223407,0.044826610571896026,0.04771745949736133,Pub,81291,0.21006035381026014,59.891518674824965
2018,West_Bengal,TxDie,0.009382835881258595,0.007684219040685917,0.01108145272183127,Pri,12363,0.096409534134773,10.719682413102266
2019,West_Bengal,TxSucc,0.863702974377762,0.8614246788633709,0.8659698211709752,Pub,87346,0.34310369632046955,101.4020902642902
2019,West_Bengal,TxSucc,0.6663257105282385,0.6584350113246146,0.6742164097318624,Pri,13687,0.4715249283094973,55.1643863374049
2019,West_Bengal,TxDie,0.04949282165182149,0.048061731504590935,0.05093536052022989,Pub,87346,0.21689463399716113,64.10181379648454
2019,West_Bengal,TxDie,0.01811938335646964,0.015927522466574123,0.020384306276028347,Pri,13687,0.13338317473823652,15.60469137559585
2020,West_Bengal,TxSucc,0.8342890158287184,0.8318798238346488,0.836687306501548,Pub,91732,0.3718209971159064,112.61450763384065
2020,West_Bengal,TxSucc,0.7048613182224873,0.6979421413659409,0.7117804950790337,Pri,16765,0.45610507593771066,59.05636123708324
2020,West_Bengal,TxDie,0.05185758513931889,0.05042951205686129,0.05329655954301661,Pub,91732,0.22173943267456325,67.15886737797369
2020,West_Bengal,TxDie,0.0393677303906949,0.03644497464956755,0.04235013420817179,Pri,16765,0.19446828069014355,25.179700116207528
2021,West_Bengal,TxSucc,0.8436410773440876,0.8409333141293389,0.8463344375630131,Pub,69430,0.3631952780004096,95.70040509656903
2021,West_Bengal,TxSucc,0.8190630048465266,0.8106126506772711,0.8273890891015285,Pri,8047,0.38496597114330167,34.533400282285314
2021,West_Bengal,TxDie,0.05637332565173556,0.054659369148782944,0.058101685150511305,Pub,69430,0.2306412231295588,60.77297757555661
2021,West_Bengal,TxDie,0.05045358518702622,0.04573132844538337,0.05530011184292283,Pri,8047,0.21887900979491318,19.63455740306023
2018,West_Bengal,DrugTime,2.46e-4,2.4291234567901237e-4,2.490977777777778e-4,All,98780487.80487804,1.5779163517258677e-6,0.015682653966558772
2019,West_Bengal,DrugTime,1.77e-4,1.744e-4,1.7961e-4,All,100000000,1.3290816326530575e-6,0.013290816326530576
2020,West_Bengal,DrugTime,1.53e-4,1.5058577922077922e-4,1.5542415584415584e-4,All,100653594.77124183,1.2342797508613827e-6,0.012383067754297549
2021,West_Bengal,DrugTime,1.56e-4,1.535766037735849e-4,1.584332075471698e-4,All,101923076.92307693,1.2389295340777848e-6,0.012507855892301356
