Year,State,Index,M,L,U,Tag,N,Error,Std
2018,Rajasthan,PrDetPub,0.7115778432645722,0.7093551770640827,0.7137942660206783,All,160168,0.45302849384946214,181.30650856339986
2019,Rajasthan,PrDetPub,0.7011380109349497,0.698992112682487,0.7032782020112089,All,175218,0.4577592167910244,191.6136557780253
2020,Rajasthan,PrDetPub,0.7072190278191718,0.7048129275189544,0.709625128119389,All,137567,0.45503876154639544,168.77399320829255
2021,Rajasthan,PrDetPub,0.6903065840174234,0.6879611325180097,0.692652035516837,All,149225,0.4623671745265005,178.61082966545226
2019,Rajasthan,PrevUt,0.0024738946063701268,0.0018248175182481751,0.0031934306569343066,All,19728,0.049676699284943435,6.977410292223877
2019,Rajasthan,PrevAsym,0.001145321577023207,7.096512570965125e-4,0.0016220600162206002,All,19728,0.03382321415105921,4.750686859849842
2019,Rajasthan,PrevSym,4.123157677283544e-4,1.5206812652068127e-4,7.096512570965125e-4,All,19728,0.020301373437184907,2.851457806292448
2019,Rajasthan,PrevExCS,9.162572616185654e-4,5.068937550689375e-4,0.0013686131386861315,All,19728,0.030255871070737603,4.249630697044883
2019,Rajasthan,PrAsym,0.46296296296296297,0.32653061224489793,0.6122448979591837,All,49,0.49862637103097257,3.490384597216808
2019,Rajasthan,PrSym,0.16666666666666666,0.061224489795918366,0.2857142857142857,All,49,0.37267799624996495,2.6087459737497545
2019,Rajasthan,PrExCS,0.37037037037037035,0.24489795918367346,0.5102040816326531,All,49,0.4829038818668629,3.38032717306804
2019,Rajasthan,TBLikeUt,0.0586890243902439,0.054878048780487805,0.06256929046563194,All,14432,0.2350417469437403,28.236331141659736
2019,Rajasthan,PrCSIPub,0.5868852459016394,0.5799878345498783,0.5937753446877534,All,19728,0.49239308894887185,69.15976013110586
2019,Rajasthan,PrTxiPub,0.5625,0.3333333333333333,0.8,All,15,0.4960783708246107,1.9213032686174247
2019,Rajasthan,PrPastPub,0.6666666666666666,0.48148148148148145,0.8518518518518519,All,27,0.47140452079103173,2.4494897427831783
2018,Rajasthan,TxI,0.855885656126066,0.8538412943529989,0.8579212438142702,Pub,113972,0.3512056374315758,118.56610772843408
2018,Rajasthan,TxI,0.8903368256991947,0.8874794354489566,0.8931725690535978,Pri,46196,0.31246945851247043,67.15985675231984
2019,Rajasthan,TxI,0.8862045387946472,0.8844219060332759,0.8879790316803959,Pub,122852,0.31756267761563833,111.30651127561751
2019,Rajasthan,TxI,0.9563266241454379,0.9545697590039338,0.9580643929267082,Pri,52366,0.20436734596316566,46.766643982871116
2020,Rajasthan,TxI,0.909857128173502,0.9080583821564395,0.9116558741905643,Pub,97290,0.286386337812001,89.32775052625924
2020,Rajasthan,TxI,0.9651910519651414,0.9633786031730268,0.9669786726916106,Pri,40277,0.18329562234697552,36.78583769407904
2018,Rajasthan,TxSucc,0.8451100565187323,0.8426537571840793,0.8475544320702072,Pub,83866,0.36179973588939696,104.77585425172315
2018,Rajasthan,TxSucc,0.3763968267508317,0.3702124029685234,0.3826239017316387,Pri,23446,0.48448142953340956,74.18421667662139
2018,Rajasthan,TxDie,0.035103617675816184,0.033863544225311806,0.036355614909498485,Pub,83866,0.1840417172868323,53.297794978426616
2018,Rajasthan,TxDie,0.003625351872387614,0.0028576302994114135,0.004393073445363814,Pri,23446,0.06010165302376458,9.202817236631784
2019,Rajasthan,TxSucc,0.8203969795828598,0.8181151717312415,0.8226696235475239,Pub,109124,0.3838564516511094,126.80284067340318
2019,Rajasthan,TxSucc,0.6393385993597863,0.6348248624001105,0.643852336319462,Pri,43423,0.4801924142762492,100.06338893208451
2019,Rajasthan,TxDie,0.03482277042630402,0.03374143176569774,0.035913272973864596,Pub,109124,0.18333069870084753,60.56131993591326
2019,Rajasthan,TxDie,0.008705064136517515,0.007852981139027704,0.00958017640420975,Pri,43423,0.09289395025994229,19.35741423218495
2020,Rajasthan,TxSucc,0.8190178030658466,0.8168084144437715,0.8212186612299215,Pub,117227,0.3850034302795765,131.81912497754263
2020,Rajasthan,TxSucc,0.7681053682512864,0.7644766146993318,0.771734121803241,Pri,52084,0.4220420731572174,96.3181012984529
2020,Rajasthan,TxDie,0.03314082933112679,0.03211717437109198,0.03417301474916188,Pub,117227,0.17900423112980293,61.28823604941304
2020,Rajasthan,TxDie,0.016934183242454496,0.015839797250595193,0.018047768988556947,Pri,52084,0.12902486845707486,29.44595134106139
2021,Rajasthan,TxSucc,0.8221565288176258,0.8197037370264452,0.8246093206088065,Pub,93363,0.38238092387065836,116.8378663126294
2021,Rajasthan,TxSucc,0.8283163328927351,0.8246252836870589,0.8320073820984114,Pri,40097,0.3771052711854698,75.51244689210904
2021,Rajasthan,TxDie,0.035635101699816846,0.034446193888371196,0.03682400951126249,Pub,93363,0.18537864285472735,56.643110937206735
2021,Rajasthan,TxDie,0.03214704341970721,0.030426216425168965,0.03389280993590543,Pri,40097,0.1763905071682676,35.32085023087634
2018,Rajasthan,DrugTime,7.57e-4,7.508688184931507e-4,7.631441438356165e-4,All,77146631.43989432,3.1314605465474025e-6,0.027504606003787305
2019,Rajasthan,DrugTime,6.15e-4,6.095134854771784e-4,6.204992738589212e-4,All,78373983.7398374,2.8024970361588603e-6,0.024810249014395658
2020,Rajasthan,DrugTime,5.06e-4,5.010658706467661e-4,5.109467164179104e-4,All,79446640.31620553,2.520623921210278e-6,0.02246703809024428
2021,Rajasthan,DrugTime,5.170000000000001e-4,5.120407673860912e-4,5.219716306954437e-4,All,80657640.23210831,2.533383497283803e-6,0.02275221553085166
