Year,State,Index,M,L,U,Tag,N,Error,Std
2020,Jharkhand,TestR,7.799773308379682e-4,7.710941824603948e-4,7.888604792155415e-4,Pub,37937000,0.027917180484449845,171.9503430376936
2020,Jharkhand,TestR,3.936789941218336e-4,3.8737907583625484e-4,4.0000527189814694e-4,Pri,37937000,0.019837439627417165,122.18477975682075
2020,Jharkhand,CNR,0.0012137754698579224,0.0012027044837493739,0.0012248728154572053,All,37937000,0.03481813060700838,214.45537829800273
2021,Jharkhand,CNR,9.135712614696784e-4,9.040316082243768e-4,9.231369083205532e-4,Pub,38471000,0.030211531722504494,187.3870102873846
2021,Jharkhand,CNR,4.4274908372540355e-4,4.3612071430428116e-4,4.49403446752099e-4,Pri,38471000,0.021036945048515575,130.4816410643923
2021,Jharkhand,CNR,0.001356320345195082,0.001344701203503938,0.001367965480491799,All,38471000,0.03680327078285695,228.27226848811065
2018,Jharkhand,PrDetPub,0.7788318759280647,0.7751402408843425,0.7825235109717869,All,48488,0.4150334745131245,91.39033339173551
2019,Jharkhand,PrDetPub,0.7703418561943778,0.7668809153835288,0.7738027970052267,All,56632,0.4206129821931063,100.09528551167669
2020,Jharkhand,PrDetPub,0.6734857862618628,0.6692075488088257,0.6777640237149,All,46047,0.46893782313341204,100.62732629085953
2021,Jharkhand,PrDetPub,0.6735659939822534,0.6695413863814945,0.6775906015830123,All,52179,0.46890814210562864,107.11138863584826
2019,Jharkhand,PrevUt,0.001676292746168524,0.001105872766428031,0.002328153192480065,All,17181,0.0409082239751088,5.362099196614392
2019,Jharkhand,PrevAsym,0.0011494578830869879,6.984459577440195e-4,0.0016879110645480473,All,17181,0.03388416488069312,4.441411423660588
2019,Jharkhand,PrevSym,4.310467061576205e-4,1.7461148943600488e-4,7.566497875560212e-4,All,17181,0.020757189233967376,2.720775846518117
2019,Jharkhand,PrevExCS,9.578815692391566e-5,-0,2.9101914906000815e-4,All,17181,0.009786673671524393,1.2828011077561967
2019,Jharkhand,PrAsym,0.6857142857142857,0.5172413793103449,0.8620689655172413,All,29,0.4642307659791978,2.4999591833402697
2019,Jharkhand,PrSym,0.2571428571428571,0.10344827586206896,0.41379310344827586,All,29,0.4370588154508101,2.3536337516135966
2019,Jharkhand,PrExCS,0.05714285714285714,-0,0.13793103448275862,All,29,0.23211538298959886,1.2499795916701346
2019,Jharkhand,TBLikeUt,0.0332564245365582,0.03015355239080277,0.03643885750656377,All,12569,0.17930542312936998,20.10220919560133
2019,Jharkhand,PrCSIPub,0.6349206349206349,0.6277283045224376,0.642104650486002,All,17181,0.48145240914613013,63.1070069886519
2019,Jharkhand,PrTxiPub,0.42857142857142855,0.1111111111111111,0.7777777777777778,All,9,0.49487165930539345,1.4846149779161804
2019,Jharkhand,PrPastPub,0.875,0.625,1,All,8,0.3307189138830738,0.9354143466934853
2018,Jharkhand,TxI,0.9572344031352611,0.9551954242135366,0.9592733820569855,Pub,37764,0.20232820018361639,39.31836162740567
2018,Jharkhand,TxI,0.8556508765386049,0.8489369638194704,0.8622715404699739,Pri,10724,0.35144338664615954,36.39433413158923
2019,Jharkhand,TxI,0.997249346719846,0.9967450602851511,0.9977307110438729,Pub,43626,0.05237448984655011,10.939374827035595
2019,Jharkhand,TxI,0.9727049054282639,0.9698600645855759,0.975472858680609,Pri,13006,0.16294192948426767,18.582525162825235
2020,Jharkhand,TxI,0.954146781890881,0.9517928543789501,0.9564684638204566,Pub,31012,0.2091666811376912,36.83472171537111
2020,Jharkhand,TxI,0.9933488526770868,0.9920186232125041,0.9946125706684403,Pri,15035,0.08128289833785499,9.96668878152158
2018,Jharkhand,TxSucc,0.7838930348258707,0.7795963364993216,0.7881614654002713,Pub,35376,0.41158807657335866,77.4135792432037
2018,Jharkhand,TxSucc,0.24708121827411167,0.23756345177664975,0.2565989847715736,Pri,7880,0.4313143747318103,38.287502765527876
2018,Jharkhand,TxDie,0.021455223880597014,0.01995703301673451,0.02298168249660787,Pub,35376,0.1448961602280422,27.25280692102424
2018,Jharkhand,TxDie,0.0011421319796954316,5.076142131979696e-4,0.0019035532994923859,Pri,7880,0.03377613823746564,2.9982863125763592
2019,Jharkhand,TxSucc,0.8903532714653357,0.8872338766279342,0.8934726663027373,Pub,38469,0.31244891335434327,61.28221682544444
2019,Jharkhand,TxSucc,0.6198039215686274,0.6103921568627451,0.6292156862745099,Pri,10200,0.48543487758583864,49.026519434313684
2019,Jharkhand,TxDie,0.02771062413891705,0.026072941849281238,0.029374301385531206,Pub,38469,0.16414245474205852,32.19410621011111
2019,Jharkhand,TxDie,0.009509803921568628,0.007647058823529412,0.011470588235294118,Pri,10200,0.09705342627100778,9.80191557909003
2020,Jharkhand,TxSucc,0.8188080195242113,0.8152042515338822,0.8224117875145405,Pub,43843,0.38517716272781555,80.65116804548052
2020,Jharkhand,TxSucc,0.595457771469127,0.5869410929737402,0.6039744499645139,Pri,12681,0.49080323334932086,55.269325738936075
2020,Jharkhand,TxDie,0.0246561594781379,0.023219214013639577,0.026115913600802863,Pub,43843,0.15507492794751357,32.47070512945681
2020,Jharkhand,TxDie,0.018373945272454853,0.016087059380175066,0.020739689298951185,Pri,12681,0.13429945423410955,15.123454326030082
2021,Jharkhand,TxSucc,0.8413716742110919,0.8372683752890221,0.8454424072687009,Pub,30707,0.3653291393337193,64.01813356450052
2021,Jharkhand,TxSucc,0.8162241690630643,0.8100046813348492,0.8224436567912793,Pri,14953,0.3873012714933616,47.36015220188065
2021,Jharkhand,TxDie,0.029374409743706646,0.027485589604976064,0.03126322988243723,Pub,30707,0.16885364608416215,29.588921616226177
2021,Jharkhand,TxDie,0.04453955727947569,0.04126262288503979,0.047883367886042937,Pri,14953,0.2062905356937734,25.22571415940229
2018,Jharkhand,DrugTime,5.5e-4,5.426061320754717e-4,5.574198113207547e-4,All,38545454.54545455,3.778999807470148e-6,0.023461914916462136
2019,Jharkhand,DrugTime,4.3e-4,4.235372781065089e-4,4.3648816568047337e-4,All,39302325.58139535,3.3037978505011437e-6,0.020712026390980767
2020,Jharkhand,DrugTime,3.63e-4,3.5713232876712325e-4,3.688925342465753e-4,All,40220385.67493113,3.000052418227568e-6,0.019026195648969544
2021,Jharkhand,DrugTime,3.29e-4,3.234511940298507e-4,3.345733582089552e-4,All,40729483.282674775,2.837286780383793e-6,0.018107466265876667
